CMDLINE python main.py
MEM 67.046875 1704892778.9296
MEM 67.046875 1704892779.0307
MEM 67.046875 1704892779.1311
MEM 67.046875 1704892779.2318
MEM 67.046875 1704892779.3326
MEM 67.046875 1704892779.4336
MEM 67.046875 1704892779.5342
MEM 67.046875 1704892779.6345
MEM 67.046875 1704892779.7351
MEM 67.046875 1704892779.8361
MEM 67.046875 1704892779.9374
MEM 67.046875 1704892780.0379
MEM 67.046875 1704892780.1395
MEM 67.046875 1704892780.2405
MEM 67.046875 1704892780.3419
MEM 67.046875 1704892780.4429
MEM 67.046875 1704892780.5438
MEM 67.046875 1704892780.6442
MEM 67.046875 1704892780.7447
MEM 67.046875 1704892780.8458
MEM 67.046875 1704892780.9467
MEM 67.046875 1704892781.0481
MEM 67.046875 1704892781.1487
MEM 67.046875 1704892781.2493
MEM 67.046875 1704892781.3504
MEM 67.046875 1704892781.4511
MEM 67.046875 1704892781.5520
MEM 67.046875 1704892781.6526
MEM 67.046875 1704892781.7532
MEM 67.046875 1704892781.8538
MEM 67.046875 1704892781.9553
MEM 67.046875 1704892782.0560
MEM 67.046875 1704892782.1567
MEM 67.046875 1704892782.2572
MEM 67.046875 1704892782.3578
MEM 67.050781 1704892782.4583
MEM 67.050781 1704892782.5593
MEM 67.050781 1704892782.6599
MEM 67.050781 1704892782.7611
MEM 67.050781 1704892782.8614
MEM 67.050781 1704892782.9623
MEM 67.050781 1704892783.0638
MEM 67.050781 1704892783.1646
MEM 67.050781 1704892783.2655
MEM 67.050781 1704892783.3667
MEM 67.050781 1704892783.4672
MEM 67.050781 1704892783.5678
MEM 67.050781 1704892783.6682
MEM 67.050781 1704892783.7690
MEM 67.050781 1704892783.8700
MEM 67.050781 1704892783.9711
MEM 67.050781 1704892784.0715
